15,0,0,0,7,27,29,25,23,57,51,31,48,6
5,0,0,0,3,27,10,35,0,20,44,63,48,2
11,0,0,0,7,22,29,55,50,57,14,60,24,6
1,0,0,0,8,27,12,25,37,52,14,63,54,5
14,0,0,0,9,27,29,35,37,57,14,31,54,6
14,0,0,0,10,22,10,55,37,30,14,63,48,3
10,0,0,0,10,27,10,35,23,20,44,26,48,2
3,0,0,0,6,27,10,55,37,34,44,31,54,4
3,0,0,0,2,22,10,25,0,20,21,63,41,2
7,0,0,0,10,10,4,35,0,9,51,31,2,1
4,0,0,0,7,27,12,55,37,52,14,63,41,5
5,0,0,0,5,22,58,25,0,52,59,63,61,5
11,0,0,0,7,53,4,25,23,52,14,63,16,5
8,0,0,0,6,22,58,8,47,20,14,63,41,2
7,0,0,0,5,64,22,55,37,62,59,63,41,7
9,0,0,0,9,22,29,32,11,62,59,26,54,7
12,0,0,0,8,17,49,15,0,30,44,63,41,3
0,0,0,0,5,27,10,35,0,57,21,63,24,6
5,0,0,0,9,29,39,32,50,34,51,63,41,4
14,0,0,0,8,22,58,35,47,9,59,63,54,1
2,0,0,0,4,27,10,42,33,20,59,6,54,2
4,0,0,0,8,29,17,42,23,52,59,31,19,5
8,0,0,0,11,67,27,55,0,34,21,63,24,4
8,0,0,0,4,22,1,8,0,9,59,31,61,1
9,0,0,0,6,58,39,15,47,62,38,6,16,7
6,0,0,0,6,27,46,25,13,20,51,31,54,2
9,0,0,0,7,22,49,25,37,20,59,63,19,2
4,0,0,0,5,10,4,42,23,34,14,63,24,4
7,0,0,0,5,64,27,42,47,62,38,31,41,7
8,0,0,0,6,22,53,55,0,20,44,56,48,2
7,0,0,0,11,27,10,15,0,9,59,63,48,1
19,0,0,0,13,22,46,25,37,52,66,63,24,5
8,0,0,0,4,12,4,15,33,20,59,31,48,2
5,0,0,0,11,58,39,15,50,20,14,26,54,2
6,0,0,0,5,10,4,35,47,62,21,56,54,7
8,0,0,0,6,27,58,15,47,57,14,56,48,6
9,0,0,0,8,22,49,15,50,9,14,26,41,1
16,0,0,0,11,22,12,55,33,34,44,63,54,4
12,0,0,0,11,27,46,28,11,34,21,63,41,4
9,0,0,0,8,22,46,55,50,9,44,31,24,1
7,0,0,0,6,22,29,15,23,62,14,26,54,7
7,0,0,0,4,27,46,15,37,57,51,63,48,6
8,0,0,0,9,22,58,35,13,34,21,63,54,4
15,0,0,0,7,27,46,55,0,57,59,63,61,6
9,0,0,0,7,64,17,42,33,57,44,63,24,6
8,0,0,0,4,22,46,35,50,62,44,63,41,7
6,0,0,0,3,29,17,42,37,20,21,31,65,2
4,0,0,0,11,67,27,35,50,57,21,63,48,6
8,0,0,0,6,22,46,35,0,62,59,26,41,7
7,0,0,0,5,10,17,25,47,20,59,6,16,2
1,0,0,0,2,27,46,42,0,62,14,63,41,7
19,0,0,0,9,22,12,28,0,34,59,31,41,4
2,0,0,0,2,22,10,28,47,57,14,63,54,6
9,0,0,0,4,22,1,42,33,20,21,26,54,2
2,0,0,0,3,27,29,25,47,52,44,6,54,5
10,0,0,0,8,10,39,15,23,20,44,63,19,2
6,0,0,0,9,22,29,55,13,20,14,56,41,2
